"filename", "language", "JavaScript", "JSON", "CSS", "XML", "HTML", "comment", "blank", "total"
"c:\Users\mapau\Documents\trip-planner-back\trip-planner\package-lock.json", "JSON", 0, 17823, 0, 0, 0, 0, 1, 17824
"c:\Users\mapau\Documents\trip-planner-back\trip-planner\package.json", "JSON", 0, 68, 0, 0, 0, 0, 1, 69
"c:\Users\mapau\Documents\trip-planner-back\trip-planner\public\index.html", "HTML", 0, 0, 0, 0, 35, 2, 5, 42
"c:\Users\mapau\Documents\trip-planner-back\trip-planner\public\main.css", "CSS", 0, 0, 492, 0, 0, 16, 99, 607
"c:\Users\mapau\Documents\trip-planner-back\trip-planner\public\manifest.json", "JSON", 0, 25, 0, 0, 0, 0, 1, 26
"c:\Users\mapau\Documents\trip-planner-back\trip-planner\src\App.css", "CSS", 0, 0, 33, 0, 0, 0, 6, 39
"c:\Users\mapau\Documents\trip-planner-back\trip-planner\src\App.js", "JavaScript", 113, 0, 0, 0, 0, 5, 9, 127
"c:\Users\mapau\Documents\trip-planner-back\trip-planner\src\App.test.js", "JavaScript", 7, 0, 0, 0, 0, 0, 2, 9
"c:\Users\mapau\Documents\trip-planner-back\trip-planner\src\Auth\Auth.js", "JavaScript", 51, 0, 0, 0, 0, 5, 8, 64
"c:\Users\mapau\Documents\trip-planner-back\trip-planner\src\Auth\auth0-provider-with-history.js", "JavaScript", 22, 0, 0, 0, 0, 1, 6, 29
"c:\Users\mapau\Documents\trip-planner-back\trip-planner\src\Callback\Callback.js", "JavaScript", 33, 0, 0, 0, 0, 2, 7, 42
"c:\Users\mapau\Documents\trip-planner-back\trip-planner\src\UserProfile.js", "JavaScript", 14, 0, 0, 0, 0, 1, 5, 20
"c:\Users\mapau\Documents\trip-planner-back\trip-planner\src\components\Banner.js", "JavaScript", 79, 0, 0, 0, 0, 0, 12, 91
"c:\Users\mapau\Documents\trip-planner-back\trip-planner\src\components\Clock.js", "JavaScript", 30, 0, 0, 0, 0, 0, 8, 38
"c:\Users\mapau\Documents\trip-planner-back\trip-planner\src\components\Documentos.js", "JavaScript", 30, 0, 0, 0, 0, 0, 0, 30
"c:\Users\mapau\Documents\trip-planner-back\trip-planner\src\components\Navbar.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\mapau\Documents\trip-planner-back\trip-planner\src\components\Picker.js", "JavaScript", 291, 0, 0, 0, 0, 3, 29, 323
"c:\Users\mapau\Documents\trip-planner-back\trip-planner\src\components\Presupuesto.js", "JavaScript", 325, 0, 0, 0, 0, 1, 45, 371
"c:\Users\mapau\Documents\trip-planner-back\trip-planner\src\components\Principal.js", "JavaScript", 204, 0, 0, 0, 0, 0, 14, 218
"c:\Users\mapau\Documents\trip-planner-back\trip-planner\src\components\PrivateRoute.js", "JavaScript", 15, 0, 0, 0, 0, 4, 4, 23
"c:\Users\mapau\Documents\trip-planner-back\trip-planner\src\components\calendar\Calendario.js", "JavaScript", 593, 0, 0, 0, 0, 26, 80, 699
"c:\Users\mapau\Documents\trip-planner-back\trip-planner\src\components\calendar\CustomEvent.js", "JavaScript", 27, 0, 0, 0, 0, 0, 4, 31
"c:\Users\mapau\Documents\trip-planner-back\trip-planner\src\components\calendar\Itinerario.js", "JavaScript", 63, 0, 0, 0, 0, 0, 6, 69
"c:\Users\mapau\Documents\trip-planner-back\trip-planner\src\components\images\clock-solid.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\mapau\Documents\trip-planner-back\trip-planner\src\components\images\delete.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\mapau\Documents\trip-planner-back\trip-planner\src\components\images\h-square-solid.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\mapau\Documents\trip-planner-back\trip-planner\src\components\images\link-solid.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\mapau\Documents\trip-planner-back\trip-planner\src\components\images\map-marker-alt-solid.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\mapau\Documents\trip-planner-back\trip-planner\src\components\images\subway-solid.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\mapau\Documents\trip-planner-back\trip-planner\src\components\map\GMapReact.js", "JavaScript", 322, 0, 0, 0, 0, 10, 37, 369
"c:\Users\mapau\Documents\trip-planner-back\trip-planner\src\components\map\Mapa.js", "JavaScript", 73, 0, 0, 0, 0, 0, 7, 80
"c:\Users\mapau\Documents\trip-planner-back\trip-planner\src\components\modals\BudgetModal.js", "JavaScript", 116, 0, 0, 0, 0, 0, 16, 132
"c:\Users\mapau\Documents\trip-planner-back\trip-planner\src\components\modals\CalendarModal.js", "JavaScript", 89, 0, 0, 0, 0, 0, 10, 99
"c:\Users\mapau\Documents\trip-planner-back\trip-planner\src\components\modals\ChangesSavedModal.js", "JavaScript", 31, 0, 0, 0, 0, 0, 4, 35
"c:\Users\mapau\Documents\trip-planner-back\trip-planner\src\components\modals\CustomModal.js", "JavaScript", 216, 0, 0, 0, 0, 5, 38, 259
"c:\Users\mapau\Documents\trip-planner-back\trip-planner\src\components\modals\CustomModalForCalendar.js", "JavaScript", 164, 0, 0, 0, 0, 2, 25, 191
"c:\Users\mapau\Documents\trip-planner-back\trip-planner\src\components\modals\HelpModal.js", "JavaScript", 25, 0, 0, 0, 0, 0, 2, 27
"c:\Users\mapau\Documents\trip-planner-back\trip-planner\src\components\modals\ListModal.js", "JavaScript", 99, 0, 0, 0, 0, 0, 13, 112
"c:\Users\mapau\Documents\trip-planner-back\trip-planner\src\components\notas\Nota.js", "JavaScript", 47, 0, 0, 0, 0, 0, 7, 54
"c:\Users\mapau\Documents\trip-planner-back\trip-planner\src\components\notas\Notas.js", "JavaScript", 150, 0, 0, 0, 0, 1, 22, 173
"c:\Users\mapau\Documents\trip-planner-back\trip-planner\src\components\shopping\ListaCompras.js", "JavaScript", 94, 0, 0, 0, 0, 1, 13, 108
"c:\Users\mapau\Documents\trip-planner-back\trip-planner\src\components\shopping\ShopTable.js", "JavaScript", 183, 0, 0, 0, 0, 0, 30, 213
"c:\Users\mapau\Documents\trip-planner-back\trip-planner\src\index.css", "CSS", 0, 0, 12, 0, 0, 0, 2, 14
"c:\Users\mapau\Documents\trip-planner-back\trip-planner\src\index.js", "JavaScript", 25, 0, 0, 0, 0, 3, 4, 32
"c:\Users\mapau\Documents\trip-planner-back\trip-planner\src\logo.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\mapau\Documents\trip-planner-back\trip-planner\src\reducers\TripReducer.js", "JavaScript", 14, 0, 0, 0, 0, 15, 4, 33
"c:\Users\mapau\Documents\trip-planner-back\trip-planner\src\reducers\UserReducer.js", "JavaScript", 14, 0, 0, 0, 0, 1, 3, 18
"c:\Users\mapau\Documents\trip-planner-back\trip-planner\src\reportWebVitals.js", "JavaScript", 12, 0, 0, 0, 0, 0, 2, 14
"c:\Users\mapau\Documents\trip-planner-back\trip-planner\src\setupTests.js", "JavaScript", 1, 0, 0, 0, 0, 4, 1, 6
"c:\Users\mapau\Documents\trip-planner-back\trip-planner\src\store.js", "JavaScript", 22, 0, 0, 0, 0, 2, 8, 32
"Total", "-", 3594, 17916, 537, 7, 35, 110, 601, 22800